,에너지,수분,단백질,지질,"탄수
화물","총 
당류","총 
식이섬유",칼슘,철,마그네슘,인,칼륨,나트륨,셀레늄,베타카로틴,비타민 B1,비타민 B2,엽산,비타민 C,비타민 E
도라지,56,84.5,1.7,0.11,13.08,1.98,4.2,40,0.32,22,67,231,3,1.79,6,0.007,0.065,66,5.06,0.89
배,46,87.1,0.3,0.1,12.3,0,1.8,3,0.4,0,17,100,0,0,0,0.04,0.02,0,0,0
생강,42,88.2,0.97,0.15,9.82,0.45,2.6,18,0.95,37,33,337,4,1.07,19,0,0.052,0,1.5,0.51
무,27,91.6,1.5,0.09,5.65,1.93,2.7,99,0.93,27,37,350,59,1.76,671,0.061,0.158,55,4.31,0.09
마늘,123,65.3,7.03,0.12,26.65,0.47,3.3,8,0.82,23,124,357,2,4.31,0,0.118,0.276,125,11.86,0.2
비트,37,88.3,1.7,0,8.4,0,0,7,2.2,0,21,406,84,0,0,0.02,0.04,0,23,0
양파,27,92,0.95,0.04,6.68,5.74,1.7,15,0.2,8,27,145,3,1.17,2,0.035,0.011,11,5.88,0
현미,374,10.6,9.6,4.6,73.3,0,0,4,2.8,0,327,396,26,0,0,0.26,0.11,0,0,0
메밀,24,94.6,1.9,1.2,1.9,0,3.6,11,0.9,0,49,106,4,0,18118,0.29,0.15,0,1,0
돼지감자,35,81.4,2.18,0.09,14.92,6.37,1.8,17,0.53,14,100,561,2,3.18,0,0.044,0.088,39,1.34,0.11
여주,22,93.3,1.28,0.36,4.48,0.36,3.7,15,0.15,11,27,253,0,0,158,0.157,0.044,91,73.01,0
인삼,15,96.2,0.33,0.01,3.32,1.19,0.9,5,0.13,7,16,68,2,0,0,0,0.017,0,0,0.07
양배추,22,92.4,1.9,0.1,4.7,0,0,12,0.6,0,40,304,28,0,12,0.07,0.09,0,99,0
토마토,19,93.9,1.03,0.18,4.26,2.37,2.6,9,0.19,10,29,250,2,0.26,380,0.013,0.037,15,14.16,0.34
민들레차,0,99.9,0.01,0,0.05,0.05,0,2,0,1,0,19,1,0,0,0,0.003,0,0.03,0.05
"느타리버섯, 생것",18,90.5,2.68,0.08,6,0.67,3.8,0,0.66,14,104,291,1,1.8,0,0.15,0.196,52,0.63,0.09
연근,75,80,1.63,0.07,17.28,1.81,3.3,28,0.8,23,75,478,21,0.5,0,0.087,0.124,7,28.35,0.34
고구마,154,60.6,1.01,0.11,37.19,9.83,2.7,15,0.45,22,49,370,7,2.72,32,0.065,0.027,90,7.12,0.24
브로콜리,32,89.4,3.08,0.2,6.32,0.79,3.1,39,0.8,23,68,365,3,0.78,264,0.033,0.143,43,29.17,1.02
시금치,33,89.4,3.1,0.5,6,0,0,40,2.6,0,29,502,54,0,2876,0.12,0.34,0,60,0
